symbol,scale_factor,median_close_raw,median_close_scaled
PGEL,1.0,253.6300048828125,253.6300048828125
PGHH,10.0,15283.7998046875,1528.37998046875
PHOENIXLTD,1.0,1483.949951171875,1483.949951171875
PIDILITIND,1.0,1430.75,1430.75
PIIND,10.0,3649.14990234375,364.914990234375
PNB,1.0,99.95999908447266,99.95999908447266
PNBHOUSING,1.0,787.7999877929688,787.7999877929688
POLICYBZR,1.0,1289.3499755859375,1289.3499755859375
POLYCAB,10.0,5446.64990234375,544.664990234375
POLYMED,1.0,1793.75,1793.75
POONAWALLA,1.0,383.79998779296875,383.79998779296875
POWERGRID,1.0,282.25,282.25
POWERINDIA,10.0,10447.650390625,1044.7650390625
PPLPHARMA,1.0,149.60000610351562,149.60000610351562
PRAJIND,1.0,512.2999877929688,512.2999877929688
PREMIERENE,1.0,1041.2000122070312,1041.2000122070312
PRESTIGE,1.0,1255.6500244140625,1255.6500244140625
PTCIL,10.0,11978.349609375,1197.8349609375
PVRINOX,1.0,1436.2999877929688,1436.2999877929688
RADICO,1.0,1710.0999755859375,1710.0999755859375
RAILTEL,1.0,355.8500061035156,355.8500061035156
RAINBOW,1.0,1268.300048828125,1268.300048828125
RAMCOCEM,1.0,883.2000122070312,883.2000122070312
RBLBANK,1.0,218.72000122070312,218.72000122070312
RCF,1.0,145.9499969482422,145.9499969482422
RECLTD,1.0,402.20001220703125,402.20001220703125
REDINGTON,1.0,197.9600067138672,197.9600067138672
RELIANCE,1.0,1293.425048828125,1293.425048828125
RELINFRA,1.0,213.4499969482422,213.4499969482422
RHIM,1.0,611.9500122070312,611.9500122070312
RITES,1.0,256.6000061035156,256.6000061035156
RKFORGE,1.0,680.4000244140625,680.4000244140625
RPOWER,1.0,28.709999084472656,28.709999084472656
RRKABEL,1.0,1439.800048828125,1439.800048828125
RVNL,1.0,321.6499938964844,321.6499938964844
SAGILITY,1.0,43.65999984741211,43.65999984741211
SAIL,1.0,115.30000305175781,115.30000305175781
SAILIFE,1.0,750.5999755859375,750.5999755859375
SAMMAANCAP,1.0,144.44906616210938,144.44906616210938
SAPPHIRE,1.0,295.20001220703125,295.20001220703125
SARDAEN,1.0,252.0500030517578,252.0500030517578
SAREGAMA,1.0,451.0,451.0
SBFC,1.0,87.49499893188477,87.49499893188477
SBICARD,1.0,772.25,772.25
SBILIFE,1.0,1452.75,1452.75
SBIN,1.0,759.0499877929688,759.0499877929688
SCHAEFFLER,10.0,3276.75,327.675
SCHNEIDER,1.0,641.1500244140625,641.1500244140625
SCI,1.0,194.64999389648438,194.64999389648438
SHREECEM,100.0,26096.249999999996,260.9625
SHRIRAMFIN,1.0,501.8299865722656,501.8299865722656
SHYAMMETL,1.0,669.4000244140625,669.4000244140625
SIEMENS,10.0,2950.20068359375,295.020068359375
SIGNATURE,1.0,1241.9000244140625,1241.9000244140625
SJVN,1.0,94.02999877929688,94.02999877929688
SKFINDIA,10.0,4650.60009765625,465.060009765625
SOBHA,1.0,1337.5999755859375,1337.5999755859375
SOLARINDS,10.0,8890.75,889.075
SONACOMS,1.0,555.0999755859375,555.0999755859375
SONATSOFTW,1.0,521.4500122070312,521.4500122070312
SRF,10.0,2416.85009765625,241.685009765625
STARHEALTH,1.0,544.6500244140625,544.6500244140625
SUMICHEM,1.0,476.70001220703125,476.70001220703125
SUNDARMFIN,10.0,4218.39990234375,421.839990234375
SUNDRMFAST,1.0,1094.449951171875,1094.449951171875
SUNPHARMA,1.0,1556.949951171875,1556.949951171875
SUNTV,1.0,619.7000122070312,619.7000122070312
SUPREMEIND,10.0,4192.89990234375,419.289990234375
SUZLON,1.0,48.0,48.0
SWANCORP,1.0,448.8500061035156,448.8500061035156
SWIGGY,1.0,400.1750030517578,400.1750030517578
SYNGENE,1.0,710.2999877929688,710.2999877929688
SYRMA,1.0,490.8999938964844,490.8999938964844
TARIL,1.0,321.0,321.0
TATACHEM,1.0,993.5999755859375,993.5999755859375
TATACOMM,1.0,1707.0999755859375,1707.0999755859375
TATACONSUM,1.0,1022.5499877929688,1022.5499877929688
TATAELXSI,10.0,6994.14990234375,699.414990234375
TATAINVEST,1.0,613.125,613.125
TATAMOTORS,1.0,691.7000122070312,691.7000122070312
TATAPOWER,1.0,378.25,378.25
TATASTEEL,1.0,141.1999969482422,141.1999969482422
TATATECH,1.0,961.5,961.5
TBOTEK,1.0,1556.75,1556.75
TCS,10.0,3525.800048828125,352.5800048828125
TECHM,1.0,1322.25,1322.25
TECHNOE,1.0,968.2000122070312,968.2000122070312
TEJASNET,1.0,799.25,799.25
THELEELA,1.0,425.8249969482422,425.8249969482422
THERMAX,10.0,3305.199951171875,330.5199951171875
TIINDIA,10.0,3164.85009765625,316.485009765625
TIMKEN,10.0,3151.550048828125,315.1550048828125
TITAGARH,1.0,897.2000122070312,897.2000122070312
TITAN,10.0,3347.300048828125,334.7300048828125
TORNTPHARM,10.0,2696.050048828125,269.6050048828125
TORNTPOWER,1.0,1282.5,1282.5
TRENT,10.0,4634.5498046875,463.45498046875
TRIDENT,1.0,33.5,33.5
TRITURBINE,1.0,519.6500244140625,519.6500244140625
TRIVENI,1.0,356.25,356.25
TTML,1.0,76.41999816894531,76.41999816894531
TVSMOTOR,10.0,2238.5,223.85
UBL,10.0,1840.4000244140625,184.04000244140624
UCOBANK,1.0,37.439998626708984,37.439998626708984
ULTRACEMCO,10.0,10204.7001953125,1020.47001953125
UNIONBANK,1.0,119.7300033569336,119.7300033569336
